기간,연도,중분류코드,중분류명,건강보험 청구량,건강보험 청구금액,의료급여 청구량,의료급여 청구금액,청구량 합계,청구금액 합계
2020년 01월,2020,040019,비금속성 ANCHOR,20573,4285939178,695,142550377,21268,4428489555
2026년 01월,2026,040019,비금속성 ANCHOR,25458,5640311240,1021,224685140,26479,5864996380
