기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,041001,관절경 CANNULA,17220,734595419,573,24396394
2022년 11월,041001,관절경 CANNULA,17544,743321760,562,23795842
2022년 10월,041001,관절경 CANNULA,17565,737123965,589,24687227
2022년 09월,041001,관절경 CANNULA,18743,785989949,695,29132622
2022년 08월,041001,관절경 CANNULA,20150,845913999,592,24820605
2022년 07월,041001,관절경 CANNULA,17317,726526328,603,25253058
2022년 06월,041001,관절경 CANNULA,17581,737688084,684,28688410
2022년 05월,041001,관절경 CANNULA,19569,821312617,615,25811834
2022년 04월,041001,관절경 CANNULA,16944,711033411,552,23185185
2022년 03월,041001,관절경 CANNULA,20918,878157614,553,23170892
2022년 02월,041001,관절경 CANNULA,18155,761877178,641,26883555
2022년 01월,041001,관절경 CANNULA,18217,764510673,514,21578972
2021년 12월,041001,관절경 CANNULA,18973,795970142,603,25250776
2021년 11월,041001,관절경 CANNULA,16665,699268949,558,23396962
2021년 10월,041001,관절경 CANNULA,15325,643133183,527,22089963
2021년 09월,041001,관절경 CANNULA,16664,699324972,573,24018561
2021년 08월,041001,관절경 CANNULA,17960,753630426,566,23730167
2021년 07월,041001,관절경 CANNULA,19039,799516551,630,26489303
2021년 06월,041001,관절경 CANNULA,18477,777917992,644,27109145
2021년 05월,041001,관절경 CANNULA,18491,781961260,697,29532058
2021년 04월,041001,관절경 CANNULA,20747,887027957,743,31774896
2021년 03월,041001,관절경 CANNULA,22681,970394867,620,26523188
2021년 02월,041001,관절경 CANNULA,21120,903502858,579,24696576
2021년 01월,041001,관절경 CANNULA,18987,811716584,555,23714527
2020년 12월,041001,관절경 CANNULA,18591,793192904,697,29694137
2020년 11월,041001,관절경 CANNULA,15583,661049182,519,21974541
2020년 10월,041001,관절경 CANNULA,16634,698614340,527,22138434
2020년 09월,041001,관절경 CANNULA,17619,739321401,590,24768150
2020년 08월,041001,관절경 CANNULA,15385,645658963,589,24695994
2020년 07월,041001,관절경 CANNULA,20262,849839619,703,29452118
2020년 06월,041001,관절경 CANNULA,20480,859039118,665,27873957
2020년 05월,041001,관절경 CANNULA,18786,788383071,588,24653631
2020년 04월,041001,관절경 CANNULA,18855,790818081,571,23948129
2020년 03월,041001,관절경 CANNULA,22150,929237180,631,26445911
2020년 02월,041001,관절경 CANNULA,19006,797411323,523,21940623
2020년 01월,041001,관절경 CANNULA,20154,845399967,642,26888014
