기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),3333,270316370,116,9275877
2022년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),3340,268751922,107,8551243
2022년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),3379,269653719,123,9769275
2022년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),3397,271311009,151,11985152
2022년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),3798,303050897,116,9091883
2022년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),3146,251138828,109,8527514
2022년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3352,267144837,140,11064941
2022년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),3626,289727125,122,9665978
2022년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),3249,259080840,110,8710465
2022년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),3917,312527754,108,8441988
2022년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),3422,273152269,128,10054850
2022년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),3459,275165258,100,7900328
2021년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),3591,286269890,114,8964609
2021년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),3289,261799631,113,8788561
2021년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),2941,234618229,104,8186530
2021년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),3176,253019138,112,8838171
2021년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),3361,267549325,113,8986959
2021년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),3734,297001624,127,10126992
2021년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3527,282669366,132,10461217
2021년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),3500,281259346,138,11021648
2021년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),3922,318392100,158,12816759
2021년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),4311,350711065,137,10957748
2021년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),4106,333791878,111,8976891
2021년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),3711,301258853,119,9580045
2020년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),3512,284594884,147,11740912
2020년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),2877,232036865,99,7891050
2020년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),2977,237573404,108,8516643
2020년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),3166,252754672,114,9131034
2020년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),2804,223822675,122,9639698
2020년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),3727,296731623,143,11239108
2020년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3670,292923369,113,8946233
2020년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),3453,276568944,115,9144836
2020년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),3594,286700290,104,8256511
2020년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),4218,335441383,112,8791581
2020년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),3600,287256687,111,8703590
2020년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),3659,292585626,103,8111454
