기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1541,163645583,31,3477421
2022년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1628,183440369,14,1576174
2022년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1615,180896650,21,2394230
2022년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1379,154564262,32,3579377
2022년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1691,189073138,39,4395327
2022년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1645,184827844,34,3802446
2022년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1465,164391548,43,4742256
2022년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1326,148248939,32,3594780
2022년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1153,129806930,34,3760238
2022년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1252,141451018,15,1733939
2022년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1163,132987243,41,4595585
2022년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1112,128671619,25,2921472
2021년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1286,159534547,35,4405026
2021년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1041,145840306,25,3557686
2021년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1078,150453293,21,2995650
2021년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1111,155599439,31,4321713
2021년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1318,184401852,30,4210737
2021년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1314,184036979,44,6108551
2021년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1266,177501672,33,4693133
2021년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1176,165609253,41,5744468
2021년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1099,156062172,28,4044900
2021년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1116,158245728,37,5192617
2021년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1010,143673591,26,3634590
2021년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1222,171877890,32,4653150
2020년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1408,198934220,24,3344220
2020년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1033,146011701,23,3269510
2020년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1059,148263305,28,3924585
2020년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1170,164346828,35,4839829
2020년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1123,156109543,17,2425050
2020년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1460,204049575,29,3980271
2020년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1321,184299855,36,5135400
2020년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1133,158612319,27,3703423
2020년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1297,182499032,23,3211629
2020년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1604,222661596,49,6957980
2020년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1594,222169012,50,6976720
2020년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1557,219409741,45,6310870
