기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,900129,척추경막외 유착방지제,1158,500739689,34,20589930
2025년 11월,900129,척추경막외 유착방지제,730,310905352,30,15888720
2025년 10월,900129,척추경막외 유착방지제,1117,464009826,46,22263720
2025년 09월,900129,척추경막외 유착방지제,846,358271525,38,20838210
2025년 08월,900129,척추경막외 유착방지제,827,360210844,54,26434960
2025년 07월,900129,척추경막외 유착방지제,1000,417337397,53,25684830
2025년 06월,900129,척추경막외 유착방지제,700,295468907,53,25158830
2025년 05월,900129,척추경막외 유착방지제,679,285494751,23,12556510
2025년 04월,900129,척추경막외 유착방지제,1013,424348868,36,16464700
2025년 03월,900129,척추경막외 유착방지제,826,352373715,31,14909752
2025년 02월,900129,척추경막외 유착방지제,801,353053983,36,22171062
2025년 01월,900129,척추경막외 유착방지제,777,332373712,31,14138334
2024년 12월,900129,척추경막외 유착방지제,714,297003446,24,14111550
2024년 11월,900129,척추경막외 유착방지제,525,215245980,29,13972140
2024년 10월,900129,척추경막외 유착방지제,877,390120984,46,24299990
2024년 09월,900129,척추경막외 유착방지제,372,165071114,25,13399360
2024년 08월,900129,척추경막외 유착방지제,679,303729288,45,24001602
2024년 07월,900129,척추경막외 유착방지제,731,329195484,45,24255374
2024년 06월,900129,척추경막외 유착방지제,552,260150120,23,11590590
2024년 05월,900129,척추경막외 유착방지제,651,294675170,33,15330540
2024년 04월,900129,척추경막외 유착방지제,589,258402350,30,16428190
2024년 03월,900129,척추경막외 유착방지제,644,285843902,33,18668980
2024년 02월,900129,척추경막외 유착방지제,774,323015634,31,12995770
2024년 01월,900129,척추경막외 유착방지제,819,366989303,44,22334970
2023년 12월,900129,척추경막외 유착방지제,579,227460622,31,14408990
2023년 11월,900129,척추경막외 유착방지제,572,226064720,19,8614790
2023년 10월,900129,척추경막외 유착방지제,682,293490168,18,7263240
2023년 09월,900129,척추경막외 유착방지제,607,239461362,18,6675360
2023년 08월,900129,척추경막외 유착방지제,576,262170558,29,15760540
2023년 07월,900129,척추경막외 유착방지제,562,233545760,22,13791900
2023년 06월,900129,척추경막외 유착방지제,488,210539282,17,7483530
2023년 05월,900129,척추경막외 유착방지제,611,284678530,32,17489540
2023년 04월,900129,척추경막외 유착방지제,552,229034991,23,12758960
2023년 03월,900129,척추경막외 유착방지제,496,201829820,22,9238800
2023년 02월,900129,척추경막외 유착방지제,433,199376500,26,13367380
2023년 01월,900129,척추경막외 유착방지제,518,204840090,32,14171120
