기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2026년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1502,153733453,24,2396099
2026년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1578,162041350,14,1383584
2026년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1227,124348143,19,1916125
2026년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1322,133326252,20,2020796
2026년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1359,136396456,20,2030627
2026년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1307,131549278,19,1884160
2026년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1483,149920252,27,2729065
