기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,040019,비금속성 ANCHOR,19020,4020117841,695,144115848
2022년 11월,040019,비금속성 ANCHOR,19136,4009781403,571,118554455
2022년 10월,040019,비금속성 ANCHOR,18558,3854760474,642,132611069
2022년 09월,040019,비금속성 ANCHOR,19723,4106091010,826,169873491
2022년 08월,040019,비금속성 ANCHOR,20932,4352710586,647,132415740
2022년 07월,040019,비금속성 ANCHOR,17362,3608083578,686,139659224
2022년 06월,040019,비금속성 ANCHOR,18974,3939242272,783,160629937
2022년 05월,040019,비금속성 ANCHOR,19954,4152221353,620,127808596
2022년 04월,040019,비금속성 ANCHOR,17429,3615022071,584,120306100
2022년 03월,040019,비금속성 ANCHOR,20867,4340003312,614,125588240
2022년 02월,040019,비금속성 ANCHOR,18439,3827781303,643,132494138
2022년 01월,040019,비금속성 ANCHOR,18907,3922622810,636,130795333
2021년 12월,040019,비금속성 ANCHOR,19734,4096812285,702,144262257
2021년 11월,040019,비금속성 ANCHOR,17569,3641867880,626,127151740
2021년 10월,040019,비금속성 ANCHOR,16236,3373260566,658,135169700
2021년 09월,040019,비금속성 ANCHOR,17271,3581603262,604,124803242
2021년 08월,040019,비금속성 ANCHOR,18388,3812600296,543,112474613
2021년 07월,040019,비금속성 ANCHOR,20202,4194810242,670,138354900
2021년 06월,040019,비금속성 ANCHOR,19084,3982668782,721,148620031
2021년 05월,040019,비금속성 ANCHOR,19094,4006017272,660,137556162
2021년 04월,040019,비금속성 ANCHOR,20374,4313417805,746,156915756
2021년 03월,040019,비금속성 ANCHOR,22309,4725648455,724,151410177
2021년 02월,040019,비금속성 ANCHOR,20985,4444670732,656,137264463
2021년 01월,040019,비금속성 ANCHOR,19045,3994659598,625,130902013
2020년 12월,040019,비금속성 ANCHOR,18925,3996643408,717,149601113
2020년 11월,040019,비금속성 ANCHOR,16245,3409422840,568,117856007
2020년 10월,040019,비금속성 ANCHOR,16932,3516824525,621,127062825
2020년 09월,040019,비금속성 ANCHOR,17833,3706916496,600,124550678
2020년 08월,040019,비금속성 ANCHOR,15400,3197920575,609,124199456
2020년 07월,040019,비금속성 ANCHOR,20434,4236199671,743,151725336
2020년 06월,040019,비금속성 ANCHOR,20351,4229866144,664,136959871
2020년 05월,040019,비금속성 ANCHOR,18798,3914773982,645,133899181
2020년 04월,040019,비금속성 ANCHOR,18785,3901204619,587,121024923
2020년 03월,040019,비금속성 ANCHOR,22333,4629516241,608,123779865
2020년 02월,040019,비금속성 ANCHOR,19597,4072554298,596,122063878
2020년 01월,040019,비금속성 ANCHOR,20573,4285939178,695,142550377
