기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,250099,관절경 수술시 사용하는 활액 임시대체재,6874,929989043,201,26827217
2022년 11월,250099,관절경 수술시 사용하는 활액 임시대체재,6873,923375235,214,28324105
2022년 10월,250099,관절경 수술시 사용하는 활액 임시대체재,6344,845134126,196,25818605
2022년 09월,250099,관절경 수술시 사용하는 활액 임시대체재,6477,862375522,256,33694275
2022년 08월,250099,관절경 수술시 사용하는 활액 임시대체재,7322,975680334,226,29743150
2022년 07월,250099,관절경 수술시 사용하는 활액 임시대체재,6384,850009900,215,28509997
2022년 06월,250099,관절경 수술시 사용하는 활액 임시대체재,6376,849967092,262,34416864
2022년 05월,250099,관절경 수술시 사용하는 활액 임시대체재,6693,893694049,228,30311450
2022년 04월,250099,관절경 수술시 사용하는 활액 임시대체재,5547,741503357,195,26059407
2022년 03월,250099,관절경 수술시 사용하는 활액 임시대체재,6438,861592459,192,25568487
2022년 02월,250099,관절경 수술시 사용하는 활액 임시대체재,5773,772297180,230,30680090
2022년 01월,250099,관절경 수술시 사용하는 활액 임시대체재,5828,783562084,195,26162992
2021년 12월,250099,관절경 수술시 사용하는 활액 임시대체재,5912,796929556,178,23832651
2021년 11월,250099,관절경 수술시 사용하는 활액 임시대체재,5124,691673515,181,24252856
