기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,040021,ALL SUTURE ANCHOR,6616,1261283371,218,40814938
2022년 11월,040021,ALL SUTURE ANCHOR,6773,1280401638,224,42152985
2022년 10월,040021,ALL SUTURE ANCHOR,6458,1209927765,199,37404704
2022년 09월,040021,ALL SUTURE ANCHOR,6556,1233522346,286,53224111
2022년 08월,040021,ALL SUTURE ANCHOR,6941,1301696507,220,40216966
2022년 07월,040021,ALL SUTURE ANCHOR,5837,1094968581,212,39293083
2022년 06월,040021,ALL SUTURE ANCHOR,5962,1118034478,254,47076104
2022년 05월,040021,ALL SUTURE ANCHOR,6093,1142538429,191,35778971
2022년 04월,040021,ALL SUTURE ANCHOR,5388,1009067954,167,31350758
2022년 03월,040021,ALL SUTURE ANCHOR,6441,1206944120,183,33779524
2022년 02월,040021,ALL SUTURE ANCHOR,5759,1080567213,217,40630623
2022년 01월,040021,ALL SUTURE ANCHOR,6060,1138414053,185,34668844
2021년 12월,040021,ALL SUTURE ANCHOR,5952,1117083245,207,38868222
2021년 11월,040021,ALL SUTURE ANCHOR,5762,1082070405,166,30805093
2021년 10월,040021,ALL SUTURE ANCHOR,5237,983789401,156,29449311
2021년 09월,040021,ALL SUTURE ANCHOR,5521,1036715563,171,31850457
2021년 08월,040021,ALL SUTURE ANCHOR,5957,1116568399,199,37157653
2021년 07월,040021,ALL SUTURE ANCHOR,6395,1200438650,197,36826515
2021년 06월,040021,ALL SUTURE ANCHOR,6297,1186018117,216,40596003
2021년 05월,040021,ALL SUTURE ANCHOR,5994,1134743185,219,40573473
2021년 04월,040021,ALL SUTURE ANCHOR,6474,1236501127,215,40932640
2021년 03월,040021,ALL SUTURE ANCHOR,7078,1353295120,205,38411950
2021년 02월,040021,ALL SUTURE ANCHOR,6509,1242260802,182,34245215
2021년 01월,040021,ALL SUTURE ANCHOR,6069,1156307469,180,34250729
2020년 12월,040021,ALL SUTURE ANCHOR,5728,1092795556,216,40988314
2020년 11월,040021,ALL SUTURE ANCHOR,4936,936919817,169,31540212
2020년 10월,040021,ALL SUTURE ANCHOR,5322,998917645,145,26661932
2020년 09월,040021,ALL SUTURE ANCHOR,5613,1052764249,200,37120484
2020년 08월,040021,ALL SUTURE ANCHOR,4772,892316254,171,31368905
2020년 07월,040021,ALL SUTURE ANCHOR,6407,1197372228,198,36847824
2020년 06월,040021,ALL SUTURE ANCHOR,6272,1174918383,196,36506478
2020년 05월,040021,ALL SUTURE ANCHOR,5627,1058258964,158,29572962
2020년 04월,040021,ALL SUTURE ANCHOR,6092,1142505842,135,25171864
2020년 03월,040021,ALL SUTURE ANCHOR,7051,1320347739,177,33220074
2020년 02월,040021,ALL SUTURE ANCHOR,6150,1153239780,169,30996862
2020년 01월,040021,ALL SUTURE ANCHOR,6593,1238989831,167,31602059
