기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1110,191433063,19,3316771
2022년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1137,194445521,7,1177141
2022년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1153,196354188,16,2762987
2022년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",928,157683705,25,4217592
2022년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1155,195742349,14,2407876
2022년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1059,180068938,23,3879380
2022년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1071,182059741,17,2866001
2022년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",949,161715744,22,3770073
2022년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",796,135625554,26,4227877
2022년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",839,143268144,15,2436500
2022년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",756,128887674,18,3114433
2022년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",764,131246480,14,2442910
2021년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",838,145069261,21,3629090
2021년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",755,133311807,18,3207901
2021년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",719,126318974,17,3045360
2021년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",746,131541127,18,3158462
2021년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",905,158997026,24,4201120
2021년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",862,151757715,22,3906385
2021년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",800,140474105,33,5900066
2021년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",737,130502947,17,3024906
2021년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",751,134283022,17,3113040
2021년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",675,120633135,19,3431743
2021년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",685,122847204,17,3056850
2021년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",970,142080717,20,3625776
2020년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",848,150871344,13,2341064
2020년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",676,120248879,19,3425430
2020년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",765,134573906,15,2588687
2020년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",759,133832931,22,3871198
2020년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",719,125981423,18,3105139
2020년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",954,167595414,16,2796350
2020년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",854,150260805,23,4121990
2020년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",759,133658424,19,3368514
2020년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",808,143021394,13,2320526
2020년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1016,177939802,32,5529753
2020년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",910,159732175,22,3759171
2020년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",964,171136102,28,5005736
